tail_number	model	owner	date	source
OY-IUV	GALX	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/oy-iuv/
OY-JJJ	HA4T	K/S Joinflight III	2023-10-04	https://www.danishaircraft.dk
OY-CKK	F2TH	Kirkbi Invest A/S	2023-10-04	https://www.danishaircraft.dk
OY-EKC	FA7X	Kirkbi Invest A/S	2023-10-04	https://www.danishaircraft.dk
OY-HTL	EC35	Kirkbi Invest A/S	2023-10-04	https://www.danishaircraft.dk
OY-SKK	FA8X	Kirkbi Invest A/S	2023-10-04	https://www.danishaircraft.dk
OY-DBS	FA8X	Danfoss A/S	2023-10-04	https://www.danishaircraft.dk
OY-DRW	FA7X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-EJD	FA7X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-GFS	F2TH	Grundfos Holding A/S	2023-10-04	https://www.danishaircraft.dk
OY-MGO	F2TH	Air Alsie A/S	2023-10-04	https://www.jetphotos.com/photo/keyword/OY-MGO
OY-NEW	FA8X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-OLD	FA8X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-PGA	FA7X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-RAB	FA7X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-RAD	FA8X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-SWO	F2TH	Blackbird Air Charter A/S	2023-10-04	https://www.jetphotos.com/photo/keyword/OY-SWO
OY-VIK	FA7X	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk
OY-INV	CL60	FlexFlight ApS	2023-10-04	https://www.danishaircraft.dk
OY-LLG	CL60	Sun-Air of Scandinavia A/S	2023-10-04	https://www.jetphotos.com/photo/keyword/OY-LLG
OY-CLP	C650	Nordic Air A/S	2023-10-04	https://www.danishaircraft.dk
OY-JJN	C501	Sun-Air of Scandinavia A/S	2023-10-04	https://www.jetphotos.com/photo/keyword/OY-JJN
OY-JSW	C25A	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-NDP	C25A	Blackbird Air Charter A/S	2023-10-04	https://www.jetphotos.com/photo/keyword/OY-NDP
OY-NLA	C650	Nordic Air A/S	2023-10-04	https://www.danishaircraft.dk
OY-TNA	C25B	Nilan A/S	2023-10-04	https://www.jetphotos.com/photo/10859132
OY-FFI	FA7X	Execujet Europe A/S	2023-10-04	https://www.danishaircraft.dk
OY-VIZ	GL5T	Execujet Europe A/S	2023-10-04	https://www.danishaircraft.dk
OY-APM	GLF4	A/S Maersk Aviation Holding	2023-10-04	https://www.danishaircraft.dk
OY-IUV	GALX	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-WLD	GA5C	Blackbird Air Charter A/S	2023-10-04	https://www.danishaircraft.dk
OY-JBJ	H25B	Sun-Air of Scandinavia A/S	2023-10-04	https://www.danishaircraft.dk
OY-JJJ	HA4T	K/S Join Flight III	2023-10-04	https://www.danishaircraft.dk
OY-JJK	HA4T	K/S Joinflight IV	2023-10-04	https://www.danishaircraft.dk
OY-GCE	GL5T	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-GSA	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-SPA	GLEX	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-CCH	CL60	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-GSB	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-NBS	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-RSE	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-CBK	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-TWM	PC12	FlexFlight ApS	2023-10-04	https://flexflight.dk/our-fleet/
OY-CVW	B350	SGA A/S	2023-10-04	https://www.danishaircraft.dk/show/OY-CVW(2)
OY-VLT	PC12	Air Alsie A/S	2023-10-04	https://www.danishaircraft.dk/show/OY-VLT?action=search&sv00=OY-VLT
OY-JJS	HA4T	Sun-Air of Scandinavia A/S	2023-10-04	https://www.danishaircraft.dk/show/OY-JJS
OY-HMV	EC75	NHV A/S	2023-10-04	https://www.danishaircraft.dk/show/OY-HMV
OY-EUR	PC12	K/S DS-Eurowind	2023-10-04	https://www.danishaircraft.dk/show/OY-EUR(2)
OY-AWH	PC12	AH Aviation ApS	2023-10-04	https://www.danishaircraft.dk/show/OY-AWH
OY-CBK	PC12		2023-10-04	
OY-CKS	PC12	Copenhagen AirTaxi A/S	2023-10-04	https://www.danishaircraft.dk/show/OY-CKS(2)
OY-LPF	PC12		2023-10-04	
OY-NBS	PC12	Air Bos ApS	2023-10-04	https://www.danishaircraft.dk/show/OY-NBS(2)
